ConstellationShortName,AlphanumericName,ApparentMagnitude,Bayer 編號,ConsID,Declination,Flamsteed,HipparcosNumber,Name,RightAscension,ith,星點,英文星名
Sgr,Kaus,1.789999962,ε Sgr,72,-34.3843,20 Sgr,90185,Kaus,276.0435,1,箕宿三,Kaus Australis
Ori,Iota,2.75,ι Ori,60,-5.9099,44 Ori,26241,ι,83.85825,8,伐三,
Cyg,Nu,3.940000057,ν Cyg,31,41.1672,58 Cyg,103413,ν,314.2935,12,天津五,
CrA,Delta,4.570000172,δ CrA,26,-40.4966,,94005,δ,287.0865,4,鱉四,
Col,Xi,4.96999979,,24,-37.1206,,28010,ξ,88.87455,10,,
Vir,nil,0.980000019,α Vir,86,-11.1612,67 Vir,65474,Spica,201.2985,1,角宿一,Spica
Gem,Omega,5.199999809,ω Gem,38,24.2154,42 Gem,33927,ω,105.6033,24,天樽三,
Oct,Theta,4.78000021,,58,-77.0653,,122,θ,0.3993795,4,,
Dra,nil,2.24000001,γ Dra,34,51.489,33 Dra,87833,Etamin,269.151,1,天棓四,Etamin
Col,Omicron,4.809999943,,24,-34.8944,,24659,ο,79.371,8,,
Cir,Delta,5.039999962,,23,-60.9572,,74778,δ,229.2375,5,,
CMa,Kappa,3.5,κ CMa,14,-32.5085,13 CMa,32759,κ,102.4602,9,弧矢八,
UMa,Sigma2,4.800000191,σ2 UMa,83,67.1342,13 UMa,45038,σ2,137.598,25,三師增一,
Cap,Epsilon,4.510000229,ε Cap,16,-19.466,39 Cap,106723,?,324.27,11,壘壁陣二,
Oph,Psi,4.480000019,ψ Oph,59,-20.0372,4 Oph,80343,ψ,246.026,18,東咸三,
Boo,Delta,3.460000038,δ Boo,9,33.3151,49 Boo,74666,δ,228.876,5,七公七,
Col,nil,3.119999886,β Col,24,-35.7693,,27628,Wazn,87.7398,2,子二,Wazn
Cnc,Kappa,5.230000019,κ Cnc,12,10.6682,76 Cnc,44798,κ,136.9368,10,柳宿增二,
Boo,Xi,4.539999962,ξ Boo,9,19.1006,37 Boo,72659,ξ,222.8475,18,左攝提增一,
Ori,Omega,4.5,ω Ori,60,4.12147,47 Ori,26594,ω,84.7965,26,參宿增十五,
Eri,Tau9,4.619999886,τ9 Eri,36,-24.0163,36 Eri,18673,τ9,59.9811,27,天苑十六,
CMi,nil,2.890000105,β CMi,15,8.28941,3 CMi,36188,Gomeisa,111.7878,2,南河二,Gomeisa
Men,Theta,5.449999809,,53,-79.4202,,33384,θ,104.14365,4,,
Ser,Chi,5.340000153,χ Ser,76,12.8475,20 Ser,76866,χ,235.4475,22,周增十四,
Dra,Upsilon,4.820000172,υ Dra,34,71.2971,52 Dra,92782,υ,283.599,22,五 少弼,
Ind,Mu,5.170000076,,44,-54.727,,104085,μ,316.3095,9,,
Col,Gamma,4.360000134,γ Col,24,-35.2833,,28199,γ,89.38425,6,子增一,
Ori,Psi1,4.889999866,ψ1 Ori,60,1.84645,25 Ori,25302,ψ1,81.18675,32,參宿增六,
Cha,Alpha,4.050000191,α Cha,22,-76.92,,40702,α,124.63035,1,小斗增一,
And,Xi,4.869999886,ξ And,1,45.5288,46 And,6411,ξ,20.58495,20,天大將軍增一,
Del,Iota,5.420000076,ι Del,32,11.3777,5 Del,101800,ι,309.4545,10,敗瓜四,
Pic,Mu,5.690000057,,65,-58.7538,,31137,μ,97.9929,10,,
Aur,Theta,2.650000095,θ Aur,8,37.2128,37 Aur,28380,θ,89.9301,3,五車四,
Cyg,Beta2,5.119999886,,31,27.9653,,95951,β2,292.689,24,,
Ori,Xi,4.449999809,ξ Ori,60,14.2088,70 Ori,29426,ξ,92.985,23,水府二,
Aur,Psi2,4.800000191,ψ2 Aur,8,42.489,50 Aur,31832,ψ2,99.83265,16,座旗五,
Eri,Lambda,4.25,λ Eri,36,-8.75408,69 Eri,23972,λ,77.2866,20,玉井一,
Cas,Upsilon2,4.619999886,υ2 Cas,18,59.1812,28 Cas,4422,υ2,14.166705,13,王良增五,
Lup,Nu1,4.989999771,,50,-47.9275,,75206,ν1,230.535,25,,
Pic,Beta,3.849999905,β Pic,65,-51.0667,,27321,β,86.8212,2,老人增四,
Cen,Chi,4.360000134,χ Cen,19,-41.1796,,68862,χ,211.512,24,衡四,
UMa,nil,3.450000048,λ UMa,83,42.9145,33 UMa,50372,Tania Borealis,154.275,13,中台一,Tania Borealis
Ori,nil,3.390000105,λ Ori,60,9.93416,39 Ori,26207,Heka,83.78445,11,觜宿一,Meissa
Her,nil,3.119999886,δ Her,40,24.8396,65 Her,84379,Sarin,258.7575,4,一 魏,
Hya,Zeta,3.109999895,ζ Hya,42,5.94553,16 Hya,43813,ζ,133.84875,4,柳宿六,
Ori,nil,1.690000057,ε Ori,60,-1.20192,46 Ori,26311,Alnilam,84.0534,4,參宿二,Alnilam
Lac,Alpha,3.75999999,α Lac,45,50.2824,7 Lac,111169,α,337.8225,1,螣蛇一,
Oph,nil,2.430000067,η Oph,59,-15.7251,35 Oph,84012,Sabik,257.595,2,十一 宋,Sabik
Peg,Kappa,4.139999866,κ Peg,62,25.645,10 Peg,107354,κ,326.1615,11,臼二,
Psc,Lambda,4.489999771,λ Psc,66,1.78042,18 Psc,116928,λ,355.512,12,雲雨四,
Boo,Rho,3.569999933,ρ Boo,9,30.3711,25 Boo,71053,ρ,217.9575,7,梗河三,
Dra,Omicron,4.630000114,ο Dra,34,59.3883,47 Dra,92512,ο,282.7995,19,扶筐四,
Ara,Epsilon2,5.269999981,,6,-53.2366,,83431,?2,255.786,15,,
Peg,nil,2.440000057,β Peg,62,28.0825,53 Peg,113881,Scheat,345.9435,2,室宿二,Sheat
Pyx,Theta,4.710000038,,69,-25.9654,,45902,θ,140.3733,6,,
Hya,Iota,3.900000095,ι Hya,42,-1.14266,35 Hya,47431,ι,144.9639,11,星宿四,
Crt,Theta,4.699999809,θ Crt,29,-9.80225,21 Crt,56633,θ,174.171,5,翼宿十三,
PsA,Theta,5.019999981,θ PsA,67,-30.8983,10 PsA,107608,θ,326.934,10,天錢二,
Psc,Mu,4.840000153,μ Psc,66,6.14393,98 Psc,7007,μ,22.5456,18,外屏四,
CMa,Nu1,5.710000038,ν1 CMa,14,-18.6599,6 CMa,31564,ν1,99.09525,23,軍市增一,
Cnc,Omicron2,5.679999828,ο2 Cnc,12,15.5812,63 Cnc,44001,ο2,134.39655,22,鬼宿增十一,
Mon,Delta,4.150000095,δ Mon,55,-0.492781,22 Mon,34769,δ,107.9661,4,闕丘增三,
Eri,Tau3,4.079999924,τ3 Eri,36,-23.6243,11 Eri,14146,τ3,45.59835,16,天苑十,
Cep,Omicron,4.75,ο Cep,20,68.1114,34 Cep,115088,ο,349.656,15,天鉤九,
Ser,Kappa,4.090000153,κ Ser,76,18.1418,35 Ser,77450,κ,237.1845,9,周增八,
Cnc,Theta,5.329999924,θ Cnc,12,18.0946,31 Cnc,41822,θ,127.899,15,鬼宿一,
Ori,Omicron2,4.059999943,ο2 Ori,60,13.5146,9 Ori,22957,ο2,74.09295,16,參旗二,
Cas,Chi,4.679999828,χ Cas,18,59.2321,39 Cas,7294,χ,23.48295,14,閣道增四,
Eri,Tau6,4.21999979,τ6 Eri,36,-23.2484,27 Eri,17651,τ6,56.71245,18,天苑十三,
Phe,Tau,5.710000038,,64,-48.8099,,88,τ,0.26916,21,,
Hya,Delta,4.139999866,δ Hya,42,5.7038,4 Hya,42313,δ,129.41415,13,柳宿一,
Aur,Tau,4.510000229,τ Aur,8,39.1811,29 Aur,27483,τ,87.29355,12,柱六,
CMi,Delta2,5.590000153,δ2 CMi,15,3.29027,8 CMi,36723,δ2,113.2986,8,南河增四,
Ari,Sigma,5.519999981,σ Ari,7,15.0821,43 Ari,13327,σ,42.87315,16,左更四,
CMa,Omega,4.010000229,ω CMa,14,-26.7727,28 CMa,35037,ω,108.70275,12,弧矢增三,
Ret,Kappa,4.710000038,,70,-62.9384,,16245,κ,52.3425,6,,
Cae,Gamma1,4.550000191,,10,-35.4829,,23595,γ1,76.1013,2,,
Cep,Delta,4.070000172,δ Cep,20,58.4152,27 Cep,110991,δ,337.293,7,造父一,
Dor,Nu,5.059999943,ν Dor,33,-68.8435,,29134,ν,92.18475,8,金魚五,
For,Omega,4.960000038,ω For,37,-28.2323,,11918,ω,38.46135,4,天庾二*,
Col,Eta,3.960000038,η Col,24,-42.8151,,28328,η,89.7867,5,老人增三,
Pav,Lambda,4.21999979,λ Pav,61,-62.1876,,92609,λ,283.0545,8,孔雀四,
Sgr,Psi,4.860000134,ψ Sgr,72,-25.2566,42 Sgr,94643,ψ,288.885,24,狗增六,
Lup,Sigma,4.440000057,σ Lup,50,-50.4571,,71121,σ,218.154,20,車騎三,
Cas,Iota,4.460000038,ι Cas,18,67.4024,,11569,ι,37.2666,10,閣道一,
And,nil,2.069999933,β And,1,35.6208,43 And,5447,Mirach,17.43255,2,奎宿九,Mirach
Cap,nil,3.049999952,β1 Cap,16,-14.7814,9 Cap,100345,Dabih,305.253,2,牛宿一,Dabih
Aqr,Kappa,5.039999962,κ Aqr,4,-4.22776,63 Aqr,111710,κ,339.4395,25,虛梁三,Situla
Peg,Nu,4.860000134,ν Peg,62,5.05828,22 Peg,109068,ν,331.419,19,危宿增六,
Ser,Lambda,4.420000076,λ Ser,76,7.35324,27 Ser,77257,λ,236.6115,12,蜀增一,
Boo,nil,2.680000067,η Boo,9,18.3986,8 Boo,67927,Muphrid,208.671,3,右攝提一,Muphrid
Psc,Epsilon,4.269999981,ε Psc,66,7.89007,71 Psc,4906,?,15.73605,7,外屏二,
Ser,Tau8,6.150000095,τ8 Ser,76,17.2642,26 Ser,77111,τ8,236.175,30,周增九,
Peg,nil,2.49000001,α Peg,62,15.2054,54 Peg,113963,Markab,346.1895,3,室宿一,Markab
Mus,Alpha,2.690000057,α Mus,56,-69.1355,,61585,α,189.2955,1,蜜蜂三,
Dra,Chi,3.549999952,χ Dra,34,72.7337,44 Dra,89937,χ,275.259,7,御女四,
Men,Lambda,6.539999962,,53,-72.7023,,27369,λ,86.95065,15,,
Com,Gamma,4.349999905,γ Com,25,28.2686,15 Com,60742,γ,186.735,3,郎位一,
Aur,Eta,3.180000067,η Aur,8,41.2346,10 Aur,23767,η,76.62855,6,柱三,
Cyg,Xi,3.720000029,ξ Cyg,31,43.9279,62 Cyg,104060,ξ,316.233,7,車府六,
CrB,Mu,5.139999866,μ CrB,27,39.01,6 CrB,76307,μ,233.8125,13,七公增八,
Pic,Gamma,4.5,,65,-56.1665,,27530,γ,87.4566,3,,
For,Sigma,5.909999847,,37,-29.3382,,17618,σ,56.6142,20,,
Gem,Sigma,4.230000019,σ Gem,38,28.8841,75 Gem,37629,σ,115.8279,18,北河增四,
UMa,nil,3.119999886,ι UMa,83,48.0423,9 UMa,44127,Dnoces,134.8035,9,上台一,Talitha
Psc,Alpha,3.819999933,α Psc,66,2.76376,113 Psc,9487,α,30.51165,3,外屏七,Alrescha
Hya,Upsilon2,4.599999905,υ2 Hya,42,-13.0647,40 Hya,49402,υ2,151.281,20,張宿增一,
Mic,Gamma,4.670000076,γ Mic顯,54,-32.2578,,103738,γ,315.3225,1,離瑜增一,
Col,Mu,5.179999828,μ Col,24,-32.3064,,27204,μ,86.4996,12,屎,
Oph,Sigma,4.340000153,σ Oph,59,4.14034,49 Oph,85355,σ,261.6285,14,宗正增二,
Hya,Pi,3.25,π Hya,42,-26.682,49 Hya,68895,π,211.593,5,平二,
Hya,Chi1,4.920000076,χ1 Hya,42,-27.2936,,54204,χ1,166.3335,23,翼宿廿,
And,Theta,4.610000134,θ And,1,38.6817,24 And,1366,θ,4.273065,18,天廄一,
Oph,Iota,4.389999866,ι Oph,59,10.1654,25 Oph,82673,ι,253.5015,15,斛一,
Nor,Gamma2,4.010000229,,57,-50.1554,,80000,γ2,244.9605,1,,
Ret,Epsilon,4.440000057,,70,-59.3017,,19921,?,64.12125,3,,
Ser,Theta2,4.980000019,,76,4.20206,,92951,θ2,284.061,19,,
Lup,Rho,4.050000191,ρ Lup,50,-49.4258,,71536,ρ,219.4725,13,車騎二,
Cep,Rho2,5.449999809,ρ Cep,20,78.8243,29 Cep,111056,ρ2,337.47,17,少衛增七,
CMi,Zeta,5.119999886,ζ CMi,15,1.76688,13 CMi,38373,ζ,117.92505,5,南河增六,
Sgr,Theta1,4.369999886,θ1 Sgr,72,-35.2762,,98412,θ1,299.934,19,天淵增二,
Dra,nil,3.289999962,ι Dra,34,58.966,12 Dra,75458,Edasich,231.2325,6,一 左樞,Edasich
Hya,Phi2,6.010000229,?2 Hya,42,-16.3443,,51905,?2,159.069,28,張宿增三,
Psc,Omicron,4.260000229,ο Psc,66,9.15764,110 Psc,8198,ο,26.34825,6,右更四,
Eri,nil,3.700000048,τ4 Eri,36,-21.7579,16 Eri,15474,Angetenar,49.87905,9,天苑十一,
Cam,Beta,4.03000021,β Cam,11,60.4423,10 Cam,23522,β,75.85455,1,八穀增十四,
Gem,Nu,4.130000114,ν Gem,38,20.2122,18 Gem,30883,ν,97.2408,16,井宿二,
Sgr,Gamma1,4.659999847,,72,-29.5801,,88567,γ1,271.2555,21,,
CrA,Kappa2,6.309999943,,26,-38.72,,90969,κ2,278.346,14,,
Pav,Xi,4.349999905,ξ Pav,61,-61.4939,,90098,ξ,275.8065,10,孔雀增二,
For,Beta,4.449999809,β For,37,-32.4063,,13147,β,42.2724,2,天庾三*,
And,Delta,3.269999981,δ And,1,30.8612,31 And,3092,δ,9.83166,4,奎宿五,
Gem,Kappa,3.569999933,κ Gem,38,24.3981,77 Gem,37740,κ,116.112,10,積薪,
Cap,Deneb,2.849999905,δ Cap,16,-16.1266,49 Cap,107556,Deneb,326.76,1,壘壁陣四,Deneb Algedi
Pic,Eta1,5.369999886,,65,-49.1515,,23482,η1,75.70305,7,,
Hor,Lambda,5.360000134,,41,-60.3116,,11258,λ,36.225,8,,
Oct,Alpha,5.130000114,α Oct,58,-77.0229,,104043,α,316.179,7,蛇尾四,
Phe,Pi,5.130000114,,64,-52.746,,118234,π,359.7315,15,,
Lup,Pi,3.910000086,π Lup,50,-47.0512,,73807,π,226.2795,11,騎官八,
Boo,nil,4.309999943,μ1 Boo,9,37.377,51A Boo,75411,Alkalurops,231.123,12,七公六,Alkalurops
Ser,Tau5,5.929999828,τ5 Ser,76,16.1191,18 Ser,76424,τ5,234.1215,27,周增三,
Cen,Kappa,3.130000114,κ Cen半,19,-42.1041,,73334,κ,224.79,12,騎官三,
Psc,Beta,4.480000019,β Psc,66,3.82007,4 Psc,113889,β,345.969,11,霹靂一,
Cyg,Rho,3.980000019,ρ Cyg,31,45.5921,73 Cyg,106481,ρ,323.496,13,車府四,
Tuc,Beta3,5.070000172,,82,-63.0314,,2578,β3,8.18247,11,,
Oph,Kappa,3.190000057,κ Oph,59,9.37506,27 Oph,83000,κ,254.418,6,斛二,
For,Delta,4.989999771,,37,-31.9384,,17304,δ,55.5621,5,,
Cet,Sigma,4.739999771,σ Cet,21,-15.2443,76 Cet,11783,σ,38.022,17,天苑增九,
UMa,nil,3.49000001,ν UMa,83,33.0942,54 UMa,55219,Alula Borealis,169.62,14,下台一,Alula Borealis
CMi,Eta,5.21999979,η CMi,15,6.94208,5 CMi,36265,η,112.0086,6,南河增二,
Phe,Zeta,3.940000057,ζ Phe,64,-55.2458,,5348,ζ,17.0961,7,水委二,
Psc,Eta,3.619999886,η Psc,66,15.3458,99 Psc,7097,η,22.8708,1,右更二,
Peg,Tau,4.579999924,τ Peg,62,23.7404,62 Peg,115250,τ,350.16,15,離宮五,
Eri,Pi,4.429999828,π Eri,36,-12.1017,26 Eri,17593,π,56.53545,24,天苑二,
For,Kappa,5.190000057,,37,-23.8163,,11072,κ,35.63505,7,,
Gem,Xi,3.349999905,ξ Gem,38,12.8961,31 Gem,32362,ξ,101.3226,8,井宿四,
Cyg,Upsilon,4.409999847,υ Cyg,31,34.8969,66 Cyg,105138,υ,319.479,16,天津七,
Dra,MuB,5.630000114,,34,54.468,,0,μB,256.332,27,,
Sex,Beta,5.079999924,β Sex,77,-0.636972,30 Sex,51437,β,157.5735,3,天相增十,
Eri,nil,2.970000029,γ Eri,36,-13.5082,34 Eri,18543,Zaurac,59.50725,4,天苑一,Zaurak
Gem,nil,3.059999943,ε Gem,38,25.1312,27 Gem,32246,Mebsuta,100.983,6,井宿五,Mebsuta
CrB,Pi,5.570000172,π CrB,27,32.5158,9 CrB,77048,π,235.9965,20,貫索一,
Leo,Pi,4.679999828,π Leo,46,8.04428,29 Leo,49029,π,150.054,19,軒轅增卅八,
UMa,Pi2,4.590000153,π2 UMa,83,64.3279,4 UMa,42527,π2,130.05375,21,內階增七,
Ser,Omega,5.210000038,ω Ser,76,2.19662,34 Ser,77578,ω,237.573,21,巴增二,
Mic,Epsilon,4.710000038,ε Mic顯,54,-32.1725,,105140,?,319.485,2,離瑜二,
Nor,Kappa,4.949999809,,57,-54.6304,,79509,κ,243.369,7,,
Boo,Zeta,3.779999971,ζ Boo,9,13.7283,30 Boo,71795,ζ,220.287,8,左攝提三,
Dor,Alpha,3.299999952,α Dor,33,-55.045,,21281,α,68.49885,1,金魚二,
Hyi,Pi1,5.570000172,,43,-67.8416,,10418,π1,33.5604,13,,
CrA,Lambda,5.110000134,,26,-38.3233,,91875,λ,280.9455,9,,
Dra,Theta,4.010000229,θ Dra,34,58.5644,13 Dra,78527,θ,240.474,13,二 上宰,
Col,Nu2,5.28000021,,24,-28.6898,,26460,ν2,84.43605,13,,
Gru,Pi2,5.619999886,,39,-45.9283,,110506,π2,335.7825,20,,
Hyi,Beta,2.819999933,β Hyi,43,-77.255,,2021,β,6.41334,1,蛇尾一,
Sgr,Kaus,2.819999933,λ Sgr,72,-25.4212,22 Sgr,90496,Kaus,276.993,5,斗宿二,Kaus Borealis
Gem,nil,4.010000229,ζ Gem,38,20.5703,43 Gem,34088,Mekbuda,106.0272,14,井宿七,Mekbuda
Dra,nil,3.670000076,α Dra,34,64.3758,11 Dra,68756,Thuban,211.098,8,一 右樞,Thuban
For,Chi1,6.389999866,,37,-35.9209,,15987,χ1,51.48255,25,,
Aur,Pi,4.300000191,π Aur,8,45.9368,35 Aur,28404,π,89.9838,10,五車增十六,
Ret,Beta,3.839999914,β Ret,70,-64.8071,,17440,β,56.0481,2,蛇首二,
Scl,Eta,4.860000134,,74,-33.007,,2210,η,6.98214,5,,
Men,Kappa,5.460000038,,53,-79.3615,,27566,κ,87.57,5,,
Peg,Sigma,5.159999847,σ Peg,62,9.83556,49 Peg,112935,σ,343.0995,22,雷電三,
Sgr,Beta2,4.269999981,β2 Sgr,72,-44.7996,,95294,β2,290.805,18,天淵一,
Eri,Tau1,4.46999979,τ1 Eri,36,-18.5727,1 Eri,12843,τ1,41.2749,25,天苑八,
Lup,Chi,3.970000029,χ Lup,50,-33.6271,5 Lup,77634,χ,237.7395,12,從官二,
Her,KappaB,6.25,,40,17.0545,7B Her,79045,κB,242.0205,24,晉增五,
Cnc,Sigma2,5.440000057,σ2 Cnc,12,32.9106,59 Cnc,43932,σ2,134.23605,18,軒轅增六,
Sgr,Tau,3.319999933,τ Sgr,72,-27.6698,40 Sgr,93864,τ,286.7355,10,斗宿五,
Cnc,Phi2,6.300000191,?2 Cnc,12,26.9355,23 Cnc,41404,?2,126.69615,30,爟增八,
And,Lambda,3.809999943,λ And,1,46.4592,16 And,116584,λ,354.39,6,螣蛇十九,
Cas,nil,2.660000086,δ Cas,18,60.2354,37 Cas,6686,Rukbah,21.45255,4,閣道三,Ruchbah
Aqr,Lambda,3.730000019,λ Aqr,4,-7.57968,73 Aqr,112961,λ,343.1535,5,壘壁陣七,
Boo,Nu2,4.980000019,ν2 Boo,9,40.8994,53 Boo,76041,ν2,232.9455,22,七公增九,
Ori,Pi4,3.680000067,π4 Ori,60,5.6051,3 Ori,22549,π4,72.8016,13,參旗七,
Oct,Gamma1,5.099999905,,58,-82.0188,,117689,γ1,358.0275,6,,
Ara,Delta,3.599999905,δ Ara,6,-60.6836,,85727,δ,262.7745,5,龜三,
Her,Theta,3.859999895,θ Her,40,37.2505,91 Her,87808,θ,269.0625,12,天紀九,
Oct,Sigma,5.449999809,σ Oct,58,-88.9565,,104382,σ,317.1915,14,南極星,
Cet,Nu,4.869999886,ν Cet,21,5.5933,78 Cet,12093,ν,38.96865,21,天囷七,
Boo,Phi,5.25,? Boo,9,40.3533,54 Boo,76534,?,234.456,24,七公增十,
Peg,Iota,3.769999981,ι Peg,62,25.345,24 Peg,109176,ι,331.752,9,臼三,
For,Rho,5.519999981,,37,-30.1673,,17738,ρ,56.9835,12,,
Gru,Pi1,6.420000076,,39,-45.9479,,110478,π1,335.6835,26,,
Tri,Beta,3,β Tri,80,34.9874,4 Tri,10064,β,32.38545,1,天大將軍九,
And,Sigma,4.510000229,σ And,1,36.7853,25 And,1473,σ,4.58211,16,天廄三,
Aqr,Rho,5.349999905,ρ Aqr,4,-7.82111,46 Aqr,110273,ρ,335.049,27,泣一,
Cyg,nil,1.25,α Cyg,31,45.2803,50 Cyg,102098,Deneb,310.3575,1,天津四,Deneb
Ara,Gamma,3.309999943,γ Ara,6,-56.3777,,85267,γ,261.348,4,龜二,
Lyr,Epsilon2,4.590000153,ε2 Lyr,52,39.6126,5 Lyr,91926,?2,281.0955,9,織女增二,
Nor,Theta,5.130000114,,57,-47.3719,,79653,θ,243.8145,9,,
Aqr,nil,4.170000076,θ Aqr,4,-7.78324,43 Aqr,110003,Ancha,334.2075,10,泣二,Ancha
Sco,Tau,2.819999933,τ Sco,73,-28.216,23 Sco,81266,τ,248.97,9,心宿三,
Pup,Nu,3.170000076,ν PuP,68,-43.1959,,31685,ν,99.44025,5,老人增二,
Per,Psi,4.320000172,ψ Per,63,48.1927,37 Per,16826,ψ,54.1224,19,天船四,
Leo,Nu,5.260000229,ν Leo,46,12.4448,27 Leo,48883,ν,149.55585,22,軒轅增四二,
Crt,nil,4.079999924,α Crt,29,-18.2991,7 Crt,53740,Alkes,164.9445,3,翼宿一,Alkes
Ari,Zeta,4.869999886,ζ Ari,7,21.0446,58 Ari,15110,ζ,48.72555,7,天陰二,
Per,nil,2.839999914,ζ Per,63,31.8837,44 Per,18246,Atik,58.533,3,卷舌四,
Cen,Rho,3.970000029,ρ Cen,19,-52.3684,,59449,ρ,182.913,20,馬尾二,
Aqr,nil,2.900000095,β Aqr,4,-5.57116,22 Aqr,106278,Sadalsuud,322.89,1,虛宿一,Sadalsuud
Crt,Gamma,4.059999943,γ Crt,29,-17.684,15 Crt,55705,γ,171.2205,2,翼宿二,
Gem,nil,1.929999948,γ Gem,38,16.3994,24 Gem,31681,Alhena,99.42795,3,井宿三,Alhena
Car,Theta,2.74000001,θ Car,17,-64.3945,,52419,θ,160.74,5,南船三,
Vol,Iota,5.409999847,,87,-70.9635,,32912,ι,102.86235,10,,
Ori,Nu,4.420000076,ν Ori,60,14.7685,67 Ori,29038,ν,91.893,22,水府一,
Hor,Gamma,5.730000019,,41,-63.7045,,12871,γ,41.36445,10,,
Pyx,Gamma,4.019999981,γ Pyx,69,-27.7101,,43409,γ,132.63345,3,天狗六,
Cha,Theta,4.340000153,θ Cha,22,-77.4846,,40888,θ,125.1621,4,小斗八,
Psc,Psi1B,5.550000191,,66,21.4655,,5132,ψ1B,16.4236,25,,
Cas,Tau,4.880000114,τ Cas,18,58.6519,5 Cas,117301,τ,356.7645,20,螣蛇十三,
Dor,Epsilon,5.099999905,,33,-66.9012,,27534,?,87.4731,9,,
Del,Epsilon,4.03000021,ε Del,32,11.3033,2 Del,101421,?,308.3025,3,敗瓜一,
Sco,nil,1.620000005,λ Sco,73,-37.1037,35 Sco,85927,Shaula,263.4015,2,尾宿八,Shaula
Crt,Kappa,5.929999828,κ Crt,29,-12.3568,16 Crt,55874,κ,171.7905,11,翼宿九,
Vol,Alpha,4,α Vol,87,-66.3958,,44382,α,135.6117,5,飛魚一,
Vel,Delta,1.929999948,δ Vel,85,-54.7086,,42913,δ,131.17575,2,天社三,
Tel,Iota,4.880000114,,79,-48.0991,,96341,ι,293.8035,5,,
Eri,Mu,4.010000229,μ Eri,36,-3.25462,57 Eri,22109,μ,71.37555,14,九斿二,
Aur,Xi,4.960000038,ξ Aur,8,55.7069,30 Aur,27949,ξ,88.71165,20,八穀增六,
For,Psi,5.929999828,,37,-38.4371,,13473,ψ,43.3932,22,,
CVn,nil,2.890000105,α2 CVn,13,38.3182,12A CVn,63125,Cor Caroli,194.007,1,常陳一,Cor Caroli
Men,Iota,6.039999962,,53,-78.8209,,26264,ι,83.90055,14,,
Pav,Zeta,4.010000229,ζ Pav,61,-71.4277,,91792,ζ,280.7595,6,孔雀八,
Psc,Rho,5.349999905,ρ Psc,66,19.1723,93 Psc,6706,ρ,21.5637,22,右更一,
Lup,Omicron,4.320000172,ο Lup,50,-43.5753,,72683,ο,222.909,17,騎官九,
Ara,Mu,5.119999886,,6,-51.8336,,86796,μ,266.037,11,,
Oph,Omicron2,6.590000153,,59,-24.2841,,84625,ο2,259.503,25,,
Vir,Xi,4.840000153,ξ Vir,86,8.25817,2 Vir,57328,ξ,176.3205,22,內屏一,
LMi,nil,3.789999962,o LMi,47,34.2156,46 LMi,53229,HIP 53229,163.3275,1,勢四,
CMa,Xi1,4.340000153,ξ1 CMa,14,-23.4184,4 CMa,31125,ξ1,97.9641,15,軍市六,
Oct,Omega,5.880000114,,58,-84.7878,,74296,ω,227.787,24,,
Cet,Delta,4.079999924,δ Cet,21,0.328517,82 Cet,12387,δ,39.8706,10,天囷九,
Cnc,Phi1,5.579999924,?1 Cnc,12,27.8939,22 Cnc,41377,?1,126.6156,20,爟三,
Tuc,Gamma,3.99000001,γ Tuc,82,-58.2359,,114996,γ,349.3575,2,鶴五,
Lup,Iota,3.549999952,ι Lup,50,-46.0581,,69996,ι,214.851,8,柱三,
Sco,nil,2.559999943,β1 Sco,73,-19.8054,8A Sco,78820,Acrab,241.359,7,房宿四,Acrab
Mon,Beta,3.75999999,β Mon,55,-7.03305,11 Mon,30867,β,97.2045,1,參宿增廿六,
For,Lambda2,5.78000021,,37,-34.5773,,12186,λ2,39.2442,16,,
Lyr,nil,0.029999999,α Lyr,52,38.783,3 Lyr,91262,Vega,279.234,1,織女一,Vega
Psc,ZetaB,6.440000057,,66,7.57838,,5743,ζB,18.4383,28,,
Ser,Nu,4.320000172,ν Ser,76,-12.8469,53 Ser,84880,ν,260.2065,11,市樓四,
CMa,nil,1.830000043,δ CMa,14,-26.3932,25 CMa,34444,Wezen,107.0979,3,弧矢一,Wezen
Lib,Xi2,5.480000019,ξ2 Lib,49,-11.4097,15 Lib,73133,ξ2,224.1915,17,氐宿增三,
Tau,Lambda,3.410000086,λ Tau,78,12.4904,35 Tau,18724,λ,60.1701,6,畢宿八,
Phe,Chi,5.150000095,,64,-44.7134,,9459,χ,30.42675,16,,
CrB,Xi,4.860000134,ξ CrB,27,30.8917,19 CrB,80181,ξ,245.5245,10,天紀一,
Per,Kappa,3.789999962,κ Per,63,44.8579,27 Per,14668,κ,47.37345,10,大陵四,
Men,Zeta,5.610000134,,53,-80.8137,,31897,ζ,100.01205,9,,
Men,Alpha,5.079999924,,53,-74.7525,,29271,α,92.55915,1,,
Ret,Gamma,4.480000019,,70,-62.1594,,18744,γ,60.22425,4,,
CrB,Nu1,5.199999809,,27,33.7991,,80197,ν1,245.589,14,,
Peg,Pi1,5.579999924,π1 Peg,62,33.1725,27 Peg,109352,π1,332.307,23,杵增一,
Ara,Zeta,3.119999886,ζ Ara,6,-55.9901,,83081,ζ,254.655,3,龜五,
Hyi,Eta2,4.679999828,η2 Hyi,43,-67.6475,,8928,η2,28.7334,6,蛇腹四,
Dor,Delta,4.340000153,δ Dor,33,-65.7355,,27100,δ,86.19345,4,金魚四,
